/home/jegou/SemProj2/venvs/myenv/lib/python3.10/site-packages/gymnasium/wrappers/record_video.py:94: UserWarning: [33mWARN: Overwriting existing videos at /home/jegou/SemProj2/videoRL folder (try specifying a different `video_folder` for the `RecordVideo` wrapper if this is not desired)[0m
  logger.warn(
Moviepy - Building video /home/jegou/SemProj2/videoRL/test-video-episode-0.mp4.
Moviepy - Writing video /home/jegou/SemProj2/videoRL/test-video-episode-0.mp4

t:   0%|          | 0/62 [00:00<?, ?it/s, now=None]t:   3%|▎         | 2/62 [00:00<00:09,  6.37it/s, now=None]t:   5%|▍         | 3/62 [00:00<00:08,  7.36it/s, now=None]t:  52%|█████▏    | 32/62 [00:00<00:00, 93.46it/s, now=None]t:  98%|█████████▊| 61/62 [00:00<00:00, 152.72it/s, now=None]                                                             Moviepy - Done !
Moviepy - video ready /home/jegou/SemProj2/videoRL/test-video-episode-0.mp4
[Episode    0] total reward = 25.831388, length = 60

[    0 /  3001]
----------------------------------
actor loss = 13.733689
critic loss = 1499.776367
entropy = 8.448282
mean return = 0.129157
mean length = 0.30

Saving the model ... Done.

[Episode  121] total reward = 269.251831, length = 500
[Episode  122] total reward = 266.947571, length = 500
[Episode  123] total reward = 26.197731, length = 56
[Episode  124] total reward = 34.712872, length = 76
[Episode  125] total reward = 269.663239, length = 500
[Episode  126] total reward = 260.261353, length = 500
[Episode  127] total reward = 278.126129, length = 500
[Episode  128] total reward = 269.730042, length = 500
[Episode  129] total reward = 39.915245, length = 105
[Episode  130] total reward = 27.272165, length = 62
[Episode  131] total reward = 273.083252, length = 500
[Episode  132] total reward = 276.051880, length = 500
[Episode  133] total reward = 271.095856, length = 500
[Episode  134] total reward = 56.354958, length = 129
[Episode  135] total reward = 21.197042, length = 55
[Episode  136] total reward = 30.421717, length = 74
[Episode  137] total reward = 32.205097, length = 68
[Episode  138] total reward = 41.158562, length = 100
[Episode  139] total reward = 264.146179, length = 500
[Episode  140] total reward = 274.198669, length = 500
[Episode  141] total reward = 30.618328, length = 68
[Episode  142] total reward = 30.022257, length = 63
[Episode  143] total reward = 267.317230, length = 500
[Episode  144] total reward = 35.357662, length = 83
[Episode  145] total reward = 31.355431, length = 69
[Episode  146] total reward = 274.665649, length = 500
[Episode  147] total reward = 62.816944, length = 161
[Episode  148] total reward = 35.452000, length = 75
[Episode  149] total reward = 23.681587, length = 62
[Episode  150] total reward = 30.369907, length = 68
[Episode  151] total reward = 44.581280, length = 92
[Episode  152] total reward = 37.863472, length = 85
[Episode  153] total reward = 69.356735, length = 134
[Episode  154] total reward = 42.014656, length = 85
[Episode  155] total reward = 272.677063, length = 500
[Episode  156] total reward = 29.944973, length = 63
[Episode  157] total reward = 276.048645, length = 500
[Episode  158] total reward = 38.154713, length = 84
[Episode  159] total reward = 39.936325, length = 85
[Episode  160] total reward = 276.800446, length = 500
[Episode  161] total reward = 46.628376, length = 89
