id,type,group_name,target
13908,IN03A010,4_ACH_sets(24),['LegNpT3_R']
13920,Fe reductor MN,,['LegNpT1_L']
13931,IN03B042,2_GABA_sets(12),['LegNpT1_R']
13942,Sternal posterior rotator MN,,"['LegNpT1_R', 'ProANR']"
13944,IN17A061,4_ACH_sets_2(24),['LegNpT1_L']
14020,Fe reductor MN,,"['LegNpT3_L', 'MetaLNL']"
14076,IN03B042,2_GABA_sets(12),['LegNpT2_R']
14154,IN01A038,,"['LegNpT2_L', 'LegNpT2_R']"
14168,Pleural remotor/abductor MN,,"['LegNpT3_L', 'MetaLNL']"
14175,IN19A015,,['LegNpT1_L']
14176,IN01A038,,"['IntTct', 'LegNpT2_L', 'LegNpT2_R', 'OvR']"
14226,Acc. ti flexor MN,,['LegNpT3_L']
14231,IN19A029,,['LegNpT1_L']
14232,IN13A020,13A_GABA_sets(32),['LegNpT3_R']
14245,IN16B041,2_GLU_sets(12),['LegNpT1_R']
14310,IN16B041,2_GLU_sets(12),['LegNpT3_R']
14333,IN13A020,13A_GABA_sets(32),['LegNpT3_L']
14346,Pleural remotor/abductor MN,,"['LegNpT1_R', 'ProANR']"
14449,Sternal posterior rotator MN,,['LegNpT3_L']
14468,Ti flexor MN,,['LegNpT3_L']
14536,Tr extensor MN,,"['LegNpT1_R', 'ProLNR']"
14555,IN17A041,3_GLU_sets(18),['LegNpT3_R']
14596,Pleural remotor/abductor MN,,"['LegNpT3_R', 'MetaLNR']"
14665,Acc. ti flexor MN,,['LegNpT2_L']
14714,IN03A007,,['LegNpT2_L']
14767,IN01A015,4_ACH_sets(24),['LegNpT3_L']
14775,Acc. ti flexor MN,,['LegNpT2_L']
14783,Acc. tr flexor MN,,"['LegNpT1_R', 'ProLNR']"
14795,IN17A061,4_ACH_sets_2(24),['LegNpT2_R']
14798,Ti flexor MN,,['LegNpT1_L']
14824,Acc. ti flexor MN,,"['LegNpT1_R', 'ProLNR']"
14825,IN16B041,2_GLU_sets(12),['LegNpT2_R']
14848,Ti flexor MN,,"['LegNpT1_R', 'ProLNR']"
14849,Acc. ti flexor MN,,['LegNpT2_R']
14874,IN21A009,3_GLU_sets(18),['LegNpT2_L']
